time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
1844.12,0.612,0.308,0.104
1854.14,0.617,0.313,0.106
1864.17,0.622,0.318,0.108
1874.19,0.627,0.323,0.11
1884.21,0.632,0.329,0.112
1894.23,0.637,0.334,0.114
1904.26,0.642,0.339,0.116
1914.28,0.647,0.344,0.118
1924.3,0.653,0.349,0.12
1934.32,0.658,0.354,0.122
1944.35,0.663,0.359,0.124
1954.37,0.668,0.364,0.125
1964.39,0.673,0.369,0.127
1974.41,0.678,0.374,0.129
1984.44,0.683,0.38,0.131
1994.46,0.688,0.385,0.133
2004.48,0.693,0.39,0.135
2014.5,0.698,0.395,0.137
2024.52,0.704,0.4,0.139
2034.55,0.709,0.405,0.141
2044.57,0.714,0.41,0.143
2054.59,0.719,0.415,0.145
2064.61,0.724,0.42,0.147
2074.64,0.729,0.425,0.148
2084.66,0.734,0.431,0.15
2094.68,0.739,0.436,0.152
2104.7,0.744,0.441,0.154
2114.73,0.749,0.446,0.156
2124.75,0.755,0.451,0.158
2134.77,0.76,0.456,0.16
2144.79,0.765,0.461,0.162
2154.82,0.77,0.466,0.164
2164.84,0.775,0.471,0.166
2174.86,0.78,0.476,0.168
2184.88,0.785,0.482,0.17
2194.91,0.79,0.487,0.172
2204.93,0.795,0.492,0.173
2214.95,0.8,0.497,0.175
2224.97,0.806,0.502,0.177
2235.0,0.811,0.507,0.179
2245.02,0.816,0.512,0.181
2255.04,0.821,0.517,0.183
2265.06,0.826,0.522,0.185
2275.08,0.831,0.527,0.187
2285.11,0.836,0.533,0.189
2295.13,0.841,0.538,0.191
2305.15,0.846,0.543,0.193
2315.17,0.851,0.548,0.195
2325.2,0.857,0.553,0.196
2335.22,0.862,0.558,0.198
2345.24,0.867,0.563,0.2
2355.26,0.872,0.568,0.202
2365.29,0.877,0.573,0.204
2375.31,0.882,0.578,0.206
2385.33,0.887,0.584,0.208
2395.35,0.892,0.589,0.21
2405.38,0.897,0.594,0.212
2415.4,0.902,0.599,0.214
2425.42,0.908,0.604,0.216
2435.44,0.913,0.609,0.218
2445.47,0.918,0.614,0.22
2455.49,0.923,0.619,0.221
2465.51,0.928,0.624,0.223
2475.53,0.933,0.629,0.225
2485.56,0.938,0.634,0.227
2495.58,0.943,0.64,0.229
2505.6,0.948,0.645,0.231
2515.62,0.953,0.65,0.233
2525.64,0.959,0.655,0.235
2535.67,0.964,0.66,0.237
2545.69,0.969,0.665,0.239
2555.71,0.974,0.67,0.241
2565.73,0.979,0.675,0.243
2575.76,0.984,0.68,0.245
2585.78,0.989,0.685,0.246
2595.8,0.994,0.691,0.248
2605.82,0.999,0.696,0.25
2615.85,1.0,0.701,0.252
2625.87,1.01,0.706,0.254
2635.89,1.01,0.711,0.256
2645.91,1.02,0.716,0.258
2655.94,1.02,0.721,0.26
2665.96,1.03,0.726,0.262
2675.98,1.03,0.731,0.264
2686.0,1.04,0.736,0.266
2696.03,1.05,0.742,0.268
2706.05,1.05,0.747,0.269
2716.07,1.06,0.752,0.271
2726.09,1.06,0.757,0.273
2736.12,1.07,0.762,0.275
2746.14,1.07,0.767,0.277
