time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
1573.52,0.151,0.0541,0.0166
1583.54,0.152,0.0557,0.0173
1593.56,0.154,0.0574,0.0179
1603.58,0.155,0.059,0.0185
1613.61,0.157,0.0606,0.0191
1623.63,0.159,0.0622,0.0197
1633.65,0.16,0.0638,0.0203
1643.67,0.162,0.0655,0.0209
1653.7,0.163,0.0671,0.0215
1663.72,0.165,0.0687,0.0221
1673.74,0.167,0.0703,0.0227
1683.76,0.168,0.0719,0.0234
1693.79,0.17,0.0736,0.024
1703.81,0.172,0.0752,0.0246
1713.83,0.173,0.0768,0.0252
1723.85,0.175,0.0784,0.0258
1733.88,0.176,0.08,0.0264
1743.9,0.178,0.0816,0.027
1753.92,0.18,0.0833,0.0276
1763.94,0.181,0.0849,0.0282
1773.96,0.183,0.0865,0.0288
1783.99,0.185,0.0881,0.0295
1794.01,0.186,0.0897,0.0301
1804.03,0.188,0.0914,0.0307
1814.05,0.189,0.093,0.0313
1824.08,0.191,0.0946,0.0319
1834.1,0.193,0.0962,0.0325
1844.12,0.194,0.0978,0.0331
1854.14,0.196,0.0995,0.0337
1864.17,0.197,0.101,0.0343
1874.19,0.199,0.103,0.0349
1884.21,0.201,0.104,0.0355
1894.23,0.202,0.106,0.0362
1904.26,0.204,0.108,0.0368
1914.28,0.206,0.109,0.0374
1924.3,0.207,0.111,0.038
1934.32,0.209,0.112,0.0386
1944.35,0.21,0.114,0.0392
1954.37,0.212,0.116,0.0398
1964.39,0.214,0.117,0.0404
1974.41,0.215,0.119,0.041
1984.44,0.217,0.12,0.0416
1994.46,0.218,0.122,0.0423
2004.48,0.22,0.124,0.0429
2014.5,0.222,0.125,0.0435
2024.52,0.223,0.127,0.0441
2034.55,0.225,0.129,0.0447
2044.57,0.227,0.13,0.0453
2054.59,0.228,0.132,0.0459
2064.61,0.23,0.133,0.0465
2074.64,0.231,0.135,0.0471
2084.66,0.233,0.137,0.0477
2094.68,0.235,0.138,0.0484
2104.7,0.236,0.14,0.049
2114.73,0.238,0.142,0.0496
2124.75,0.24,0.143,0.0502
2134.77,0.241,0.145,0.0508
2144.79,0.243,0.146,0.0514
2154.82,0.244,0.148,0.052
2164.84,0.246,0.15,0.0526
2174.86,0.248,0.151,0.0532
2184.88,0.249,0.153,0.0538
2194.91,0.251,0.154,0.0545
2204.93,0.252,0.156,0.0551
2214.95,0.254,0.158,0.0557
2224.97,0.256,0.159,0.0563
2235.0,0.257,0.161,0.0569
2245.02,0.259,0.163,0.0575
2255.04,0.261,0.164,0.0581
2265.06,0.262,0.166,0.0587
2275.08,0.264,0.167,0.0593
2285.11,0.265,0.169,0.0599
2295.13,0.267,0.171,0.0605
2305.15,0.269,0.172,0.0612
2315.17,0.27,0.174,0.0618
2325.2,0.272,0.176,0.0624
2335.22,0.274,0.177,0.063
2345.24,0.275,0.179,0.0636
2355.26,0.277,0.18,0.0642
2365.29,0.278,0.182,0.0648
2375.31,0.28,0.184,0.0654
2385.33,0.282,0.185,0.066
2395.35,0.283,0.187,0.0666
2405.38,0.285,0.188,0.0673
2415.4,0.286,0.19,0.0679
2425.42,0.288,0.192,0.0685
2435.44,0.29,0.193,0.0691
2445.47,0.291,0.195,0.0697
2455.49,0.293,0.197,0.0703
2465.51,0.295,0.198,0.0709
2475.53,0.296,0.2,0.0715
2485.56,0.298,0.201,0.0721
2495.58,0.299,0.203,0.0727
2505.6,0.301,0.205,0.0734
2515.62,0.303,0.206,0.074
2525.64,0.304,0.208,0.0746
2535.67,0.306,0.21,0.0752
2545.69,0.308,0.211,0.0758
2555.71,0.309,0.213,0.0764
2565.73,0.311,0.214,0.077
2575.76,0.312,0.216,0.0776
2585.78,0.314,0.218,0.0782
2595.8,0.316,0.219,0.0788
2605.82,0.317,0.221,0.0795
2615.85,0.319,0.222,0.0801
2625.87,0.32,0.224,0.0807
2635.89,0.322,0.226,0.0813
2645.91,0.324,0.227,0.0819
2655.94,0.325,0.229,0.0825
2665.96,0.327,0.231,0.0831
2675.98,0.329,0.232,0.0837
2686.0,0.33,0.234,0.0843
2696.03,0.332,0.235,0.0849
2706.05,0.333,0.237,0.0855
2716.07,0.335,0.239,0.0862
2726.09,0.337,0.24,0.0868
2736.12,0.338,0.242,0.0874
2746.14,0.34,0.244,0.088
2756.16,0.342,0.245,0.0886
2766.18,0.343,0.247,0.0892
2776.2,0.345,0.248,0.0898
2786.23,0.346,0.25,0.0904
2796.25,0.348,0.252,0.091
2806.27,0.35,0.253,0.0916
2816.29,0.351,0.255,0.0923
2826.32,0.353,0.256,0.0929
2836.34,0.354,0.258,0.0935
2846.36,0.356,0.26,0.0941
2856.38,0.358,0.261,0.0947
2866.41,0.359,0.263,0.0953
2876.43,0.361,0.265,0.0959
2886.45,0.363,0.266,0.0965
2896.47,0.364,0.268,0.0971
2906.5,0.366,0.269,0.0977
2916.52,0.367,0.271,0.0984
2926.54,0.369,0.273,0.099
2936.56,0.371,0.274,0.0996
2946.59,0.372,0.276,0.1
2956.61,0.374,0.278,0.101
