time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
1844.12,0.61,0.299,0.101
1854.14,0.615,0.304,0.103
1864.17,0.62,0.309,0.105
1874.19,0.625,0.314,0.107
1884.21,0.63,0.319,0.109
1894.23,0.636,0.324,0.11
1904.26,0.641,0.33,0.112
1914.28,0.646,0.335,0.114
1924.3,0.651,0.34,0.116
1934.32,0.656,0.345,0.118
1944.35,0.661,0.35,0.12
1954.37,0.666,0.355,0.122
1964.39,0.671,0.36,0.124
1974.41,0.676,0.365,0.126
1984.44,0.681,0.37,0.128
1994.46,0.687,0.375,0.13
2004.48,0.692,0.381,0.132
2014.5,0.697,0.386,0.134
2024.52,0.702,0.391,0.135
2034.55,0.707,0.396,0.137
2044.57,0.712,0.401,0.139
2054.59,0.717,0.406,0.141
2064.61,0.722,0.411,0.143
2074.64,0.727,0.416,0.145
2084.66,0.732,0.421,0.147
2094.68,0.738,0.426,0.149
2104.7,0.743,0.432,0.151
2114.73,0.748,0.437,0.153
2124.75,0.753,0.442,0.155
2134.77,0.758,0.447,0.157
2144.79,0.763,0.452,0.159
2154.82,0.768,0.457,0.16
2164.84,0.773,0.462,0.162
2174.86,0.778,0.467,0.164
2184.88,0.783,0.472,0.166
2194.91,0.789,0.477,0.168
2204.93,0.794,0.483,0.17
2214.95,0.799,0.488,0.172
2224.97,0.804,0.493,0.174
2235.0,0.809,0.498,0.176
2245.02,0.814,0.503,0.178
2255.04,0.819,0.508,0.18
2265.06,0.824,0.513,0.182
2275.08,0.829,0.518,0.183
2285.11,0.834,0.523,0.185
2295.13,0.84,0.528,0.187
2305.15,0.845,0.534,0.189
2315.17,0.85,0.539,0.191
2325.2,0.855,0.544,0.193
2335.22,0.86,0.549,0.195
2345.24,0.865,0.554,0.197
2355.26,0.87,0.559,0.199
2365.29,0.875,0.564,0.201
2375.31,0.88,0.569,0.203
2385.33,0.885,0.574,0.205
2395.35,0.89,0.579,0.207
2405.38,0.896,0.585,0.208
2415.4,0.901,0.59,0.21
2425.42,0.906,0.595,0.212
