time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
1042.33,3850.0,0.0,0.0,-22.0,100.0,306.0
1052.35,4020.0,0.0,0.0,-56.6,100.0,301.0
1062.37,4020.0,0.0,0.0,-5.29,100.0,311.0
1072.4,3930.0,0.0,0.0,25.8,100.0,315.0
1082.42,3920.0,0.0,0.0,5.79,100.0,313.0
1092.44,3970.0,0.0,0.0,-14.7,100.0,311.0
1102.46,4000.0,0.0,0.0,-10.4,100.0,314.0
1112.49,3980.0,0.0,0.0,3.49,100.0,318.0
1122.51,3970.0,0.0,0.0,4.9,100.0,319.0
1132.53,3980.0,0.0,0.0,-1.64,100.0,319.0
1142.55,3990.0,0.0,0.0,-3.88,100.0,319.0
1152.58,3990.0,0.0,0.0,-1.06,100.0,320.0
1162.6,3980.0,0.0,0.0,1.44,100.0,321.0
1172.62,4850.0,0.0,0.0,-408.0,100.0,329.0
1182.64,6290.0,0.0,0.0,-366.0,100.0,447.0
1192.67,6750.0,0.0,0.0,0.617,100.0,651.0
1202.69,5450.0,0.0,0.0,448.0,100.0,758.0
1212.71,6200.0,0.0,0.0,-231.0,100.0,763.0
1222.73,6800.0,0.0,0.0,-71.7,100.0,852.0
1232.76,6980.0,3220.0,0.0,-225.0,100.0,1010.0
1242.78,7060.0,3440.0,0.0,-85.3,100.0,1170.0
1252.8,7090.0,3550.0,0.0,-57.3,100.0,1280.0
1262.82,7100.0,4080.0,0.0,-192.0,100.0,1380.0
1272.84,7100.0,4630.0,0.0,-227.0,100.0,1520.0
1282.87,7110.0,5260.0,0.0,-270.0,100.0,1670.0
1292.89,7110.0,6040.0,0.0,-318.0,100.0,1860.0
1302.91,7110.0,6660.0,0.0,-270.0,100.0,2070.0
1312.93,7110.0,6920.0,0.0,-31.0,100.0,2290.0
1322.96,7110.0,7040.0,2830.0,-293.0,100.0,2520.0
1332.98,7110.0,7090.0,2600.0,0.728,100.0,2710.0
1343.0,7110.0,7100.0,2640.0,0.73,100.0,2820.0
1353.02,7110.0,7100.0,2660.0,0.73,100.0,2900.0
1363.05,7110.0,7110.0,2670.0,0.73,100.0,2960.0
1373.07,7110.0,7110.0,2670.0,0.73,100.0,3000.0
1383.09,7110.0,7110.0,2680.0,0.73,100.0,3030.0
1393.11,7110.0,7110.0,2680.0,0.73,100.0,3060.0
1403.14,7110.0,7110.0,2680.0,0.73,100.0,3080.0
1413.16,7110.0,7110.0,2680.0,0.73,100.0,3090.0
1423.18,7110.0,7110.0,2680.0,0.73,100.0,3100.0
1433.2,7110.0,7110.0,2680.0,0.73,100.0,3110.0
1443.23,7110.0,7110.0,2680.0,0.73,100.0,3120.0
1453.25,7110.0,7110.0,2680.0,0.73,100.0,3120.0
1463.27,7110.0,7110.0,2680.0,0.73,100.0,3130.0
1473.29,7110.0,7110.0,2680.0,0.73,100.0,3130.0
1483.32,7110.0,7110.0,2680.0,0.73,100.0,3140.0
1493.34,7110.0,7110.0,2680.0,0.73,100.0,3140.0
1503.36,7110.0,7110.0,2680.0,0.73,100.0,3140.0
1513.38,7110.0,7110.0,2680.0,0.73,100.0,3150.0
1523.4,7110.0,7110.0,2680.0,0.73,100.0,3160.0
1533.43,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1543.45,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1553.47,7110.0,7110.0,2680.0,0.73,100.0,3180.0
