time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
1783.99,0.185,0.0898,0.0301
1794.01,0.187,0.0914,0.0307
1804.03,0.189,0.093,0.0313
1814.05,0.19,0.0946,0.0319
1824.08,0.192,0.0962,0.0325
1834.1,0.193,0.0978,0.0331
1844.12,0.195,0.0995,0.0337
1854.14,0.197,0.101,0.0343
1864.17,0.198,0.103,0.035
1874.19,0.2,0.104,0.0356
1884.21,0.201,0.106,0.0362
1894.23,0.203,0.108,0.0368
1904.26,0.205,0.109,0.0374
1914.28,0.206,0.111,0.038
1924.3,0.208,0.112,0.0386
1934.32,0.21,0.114,0.0392
1944.35,0.211,0.116,0.0398
1954.37,0.213,0.117,0.0404
1964.39,0.214,0.119,0.0411
1974.41,0.216,0.121,0.0417
1984.44,0.218,0.122,0.0423
1994.46,0.219,0.124,0.0429
2004.48,0.221,0.125,0.0435
2014.5,0.222,0.127,0.0441
2024.52,0.224,0.129,0.0447
2034.55,0.226,0.13,0.0453
2044.57,0.227,0.132,0.0459
2054.59,0.229,0.133,0.0465
2064.61,0.231,0.135,0.0472
2074.64,0.232,0.137,0.0478
2084.66,0.234,0.138,0.0484
2094.68,0.235,0.14,0.049
2104.7,0.237,0.142,0.0496
2114.73,0.239,0.143,0.0502
2124.75,0.24,0.145,0.0508
2134.77,0.242,0.146,0.0514
2144.79,0.244,0.148,0.052
2154.82,0.245,0.15,0.0526
2164.84,0.247,0.151,0.0532
2174.86,0.248,0.153,0.0539
2184.88,0.25,0.155,0.0545
2194.91,0.252,0.156,0.0551
2204.93,0.253,0.158,0.0557
2214.95,0.255,0.159,0.0563
2224.97,0.256,0.161,0.0569
2235.0,0.258,0.163,0.0575
2245.02,0.26,0.164,0.0581
2255.04,0.261,0.166,0.0587
2265.06,0.263,0.167,0.0593
2275.08,0.265,0.169,0.06
2285.11,0.266,0.171,0.0606
2295.13,0.268,0.172,0.0612
2305.15,0.269,0.174,0.0618
2315.17,0.271,0.176,0.0624
2325.2,0.273,0.177,0.063
2335.22,0.274,0.179,0.0636
2345.24,0.276,0.18,0.0642
2355.26,0.278,0.182,0.0648
2365.29,0.279,0.184,0.0654
2375.31,0.281,0.185,0.0661
2385.33,0.282,0.187,0.0667
2395.35,0.284,0.188,0.0673
2405.38,0.286,0.19,0.0679
2415.4,0.287,0.192,0.0685
2425.42,0.289,0.193,0.0691
2435.44,0.29,0.195,0.0697
2445.47,0.292,0.197,0.0703
2455.49,0.294,0.198,0.0709
2465.51,0.295,0.2,0.0715
2475.53,0.297,0.201,0.0722
2485.56,0.299,0.203,0.0728
2495.58,0.3,0.205,0.0734
2505.6,0.302,0.206,0.074
2515.62,0.303,0.208,0.0746
2525.64,0.305,0.21,0.0752
2535.67,0.307,0.211,0.0758
2545.69,0.308,0.213,0.0764
2555.71,0.31,0.214,0.077
2565.73,0.312,0.216,0.0776
2575.76,0.313,0.218,0.0782
2585.78,0.315,0.219,0.0789
2595.8,0.316,0.221,0.0795
2605.82,0.318,0.222,0.0801
2615.85,0.32,0.224,0.0807
2625.87,0.321,0.226,0.0813
2635.89,0.323,0.227,0.0819
2645.91,0.324,0.229,0.0825
2655.94,0.326,0.231,0.0831
2665.96,0.328,0.232,0.0837
2675.98,0.329,0.234,0.0843
2686.0,0.331,0.235,0.085
2696.03,0.333,0.237,0.0856
2706.05,0.334,0.239,0.0862
2716.07,0.336,0.24,0.0868
2726.09,0.337,0.242,0.0874
2736.12,0.339,0.244,0.088
2746.14,0.341,0.245,0.0886
2756.16,0.342,0.247,0.0892
2766.18,0.344,0.248,0.0898
2776.2,0.346,0.25,0.0904
2786.23,0.347,0.252,0.0911
2796.25,0.349,0.253,0.0917
2806.27,0.35,0.255,0.0923
2816.29,0.352,0.256,0.0929
2826.32,0.354,0.258,0.0935
2836.34,0.355,0.26,0.0941
2846.36,0.357,0.261,0.0947
2856.38,0.358,0.263,0.0953
2866.41,0.36,0.265,0.0959
2876.43,0.362,0.266,0.0965
2886.45,0.363,0.268,0.0972
2896.47,0.365,0.269,0.0978
2906.5,0.367,0.271,0.0984
2916.52,0.368,0.273,0.099
2926.54,0.37,0.274,0.0996
2936.56,0.371,0.276,0.1
2946.59,0.373,0.278,0.101
2956.61,0.375,0.279,0.101
2966.63,0.376,0.281,0.102
2976.65,0.378,0.282,0.103
2986.68,0.38,0.284,0.103
2996.7,0.381,0.286,0.104
3006.72,0.383,0.287,0.104
3016.74,0.384,0.289,0.105
3026.76,0.386,0.29,0.106
3036.79,0.388,0.292,0.106
3046.81,0.389,0.294,0.107
3056.83,0.391,0.295,0.108
3066.85,0.392,0.297,0.108
3076.88,0.394,0.299,0.109
3086.9,0.396,0.3,0.109
3096.92,0.397,0.302,0.11
3106.94,0.399,0.303,0.111
3116.97,0.401,0.305,0.111
3126.99,0.402,0.307,0.112
3137.01,0.404,0.308,0.112
3147.03,0.405,0.31,0.113
3157.06,0.407,0.312,0.114
3167.08,0.409,0.313,0.114
3177.1,0.41,0.315,0.115
3187.12,0.412,0.316,0.115
3197.15,0.414,0.318,0.116
3207.17,0.415,0.32,0.117
3217.19,0.417,0.321,0.117
3227.21,0.418,0.323,0.118
3237.24,0.42,0.324,0.118
3247.26,0.422,0.326,0.119
3257.28,0.423,0.328,0.12
3267.3,0.425,0.329,0.12
3277.32,0.426,0.331,0.121
3287.35,0.428,0.333,0.122
3297.37,0.43,0.334,0.122
3307.39,0.431,0.336,0.123
3317.41,0.433,0.337,0.123
3327.44,0.435,0.339,0.124
3337.46,0.436,0.341,0.125
3347.48,0.438,0.342,0.125
3357.5,0.439,0.344,0.126
3367.53,0.441,0.346,0.126
3377.55,0.443,0.347,0.127
3387.57,0.444,0.349,0.128
3397.59,0.446,0.35,0.128
3407.62,0.447,0.352,0.129
3417.64,0.449,0.354,0.129
3427.66,0.451,0.355,0.13
3437.68,0.452,0.357,0.131
3447.71,0.454,0.358,0.131
3457.73,0.456,0.36,0.132
3467.75,0.457,0.362,0.133
3477.77,0.459,0.363,0.133
3487.8,0.46,0.365,0.134
3497.82,0.462,0.367,0.134
3507.84,0.464,0.368,0.135
3517.86,0.465,0.37,0.136
3527.88,0.467,0.371,0.136
3537.91,0.469,0.373,0.137
3547.93,0.47,0.375,0.137
3557.95,0.472,0.376,0.138
3567.97,0.473,0.378,0.139
3578.0,0.475,0.379,0.139
3588.02,0.477,0.381,0.14
3598.04,0.478,0.383,0.14
3608.06,0.48,0.384,0.141
3618.09,0.481,0.386,0.142
3628.11,0.483,0.388,0.142
3638.13,0.485,0.389,0.143
3648.15,0.486,0.391,0.143
3658.18,0.488,0.392,0.144
3668.2,0.49,0.394,0.145
3678.22,0.491,0.396,0.145
3688.24,0.493,0.397,0.146
3698.27,0.494,0.399,0.147
3708.29,0.496,0.401,0.147
3718.31,0.498,0.402,0.148
3728.33,0.499,0.404,0.148
3738.36,0.501,0.405,0.149
3748.38,0.503,0.407,0.15
3758.4,0.504,0.409,0.15
3768.42,0.506,0.41,0.151
3778.44,0.507,0.412,0.151
3788.47,0.509,0.413,0.152
3798.49,0.511,0.415,0.153
3808.51,0.512,0.417,0.153
3818.53,0.514,0.418,0.154
3828.56,0.515,0.42,0.154
3838.58,0.517,0.422,0.155
3848.6,0.519,0.423,0.156
3858.62,0.52,0.425,0.156
3868.65,0.522,0.426,0.157
3878.67,0.524,0.428,0.158
3888.69,0.525,0.43,0.158
3898.71,0.527,0.431,0.159
3908.74,0.528,0.433,0.159
3918.76,0.53,0.435,0.16
3928.78,0.532,0.436,0.161
3938.8,0.533,0.438,0.161
3948.83,0.535,0.439,0.162
3958.85,0.537,0.441,0.162
3968.87,0.538,0.443,0.163
3978.89,0.54,0.444,0.164
3988.92,0.541,0.446,0.164
3998.94,0.543,0.447,0.165
4008.96,0.545,0.449,0.165
4018.98,0.546,0.451,0.166
4029.0,0.548,0.452,0.167
4039.03,0.549,0.454,0.167
4049.05,0.551,0.456,0.168
4059.07,0.553,0.457,0.168
4069.09,0.554,0.459,0.169
4079.12,0.556,0.46,0.17
4089.14,0.558,0.462,0.17
4099.16,0.559,0.464,0.171
4109.18,0.561,0.465,0.172
4119.21,0.562,0.467,0.172
4129.23,0.564,0.469,0.173
4139.25,0.566,0.47,0.173
4149.27,0.567,0.472,0.174
4159.3,0.569,0.473,0.175
4169.32,0.571,0.475,0.175
4179.34,0.572,0.477,0.176
4189.36,0.574,0.478,0.176
4199.39,0.575,0.48,0.177
4209.41,0.577,0.481,0.178
4219.43,0.579,0.483,0.178
4229.45,0.58,0.485,0.179
4239.48,0.582,0.486,0.179
4249.5,0.583,0.488,0.18
4259.52,0.585,0.49,0.181
4269.54,0.587,0.491,0.181
4279.56,0.588,0.493,0.182
4289.59,0.59,0.494,0.183
4299.61,0.592,0.496,0.183
4309.63,0.593,0.498,0.184
4319.65,0.595,0.499,0.184
4329.68,0.596,0.501,0.185
4339.7,0.598,0.503,0.186
4349.72,0.6,0.504,0.186
4359.74,0.601,0.506,0.187
4369.77,0.603,0.507,0.187
4379.79,0.605,0.509,0.188
4389.81,0.606,0.511,0.189
4399.83,0.608,0.512,0.189
4409.86,0.609,0.514,0.19
4419.88,0.611,0.515,0.19
4429.9,0.613,0.517,0.191
4439.92,0.614,0.519,0.192
4449.95,0.616,0.52,0.192
4459.97,0.617,0.522,0.193
4469.99,0.619,0.524,0.193
4480.01,0.621,0.525,0.194
4490.04,0.622,0.527,0.195
4500.06,0.624,0.528,0.195
4510.08,0.626,0.53,0.196
4520.1,0.627,0.532,0.197
4530.12,0.629,0.533,0.197
4540.15,0.63,0.535,0.198
4550.17,0.632,0.537,0.198
4560.19,0.634,0.538,0.199
4570.21,0.635,0.54,0.2
4580.24,0.637,0.541,0.2
4590.26,0.639,0.543,0.201
4600.28,0.64,0.545,0.201
4610.3,0.642,0.546,0.202
4620.33,0.643,0.548,0.203
4630.35,0.645,0.549,0.203
4640.37,0.647,0.551,0.204
4650.39,0.648,0.553,0.204
4660.42,0.65,0.554,0.205
4670.44,0.651,0.556,0.206
4680.46,0.653,0.558,0.206
4690.48,0.655,0.559,0.207
4700.51,0.656,0.561,0.208
4710.53,0.658,0.562,0.208
4720.55,0.66,0.564,0.209
4730.57,0.661,0.566,0.209
4740.6,0.663,0.567,0.21
4750.62,0.664,0.569,0.211
4760.64,0.666,0.571,0.211
4770.66,0.668,0.572,0.212
4780.68,0.669,0.574,0.212
4790.71,0.671,0.575,0.213
4800.73,0.672,0.577,0.214
4810.75,0.674,0.579,0.214
4820.77,0.676,0.58,0.215
4830.8,0.677,0.582,0.215
4840.82,0.679,0.583,0.216
4850.84,0.681,0.585,0.217
4860.86,0.682,0.587,0.217
4870.89,0.684,0.588,0.218
4880.91,0.685,0.59,0.218
4890.93,0.687,0.592,0.219
4900.95,0.689,0.593,0.22
4910.98,0.69,0.595,0.22
4921.0,0.692,0.596,0.221
4931.02,0.694,0.598,0.222
4941.04,0.695,0.6,0.222
4951.07,0.697,0.601,0.223
4961.09,0.698,0.603,0.223
4971.11,0.7,0.604,0.224
4981.13,0.702,0.606,0.225
4991.16,0.703,0.608,0.225
5001.18,0.705,0.609,0.226
5011.2,0.706,0.611,0.226
5021.22,0.708,0.613,0.227
5031.24,0.71,0.614,0.228
5041.27,0.711,0.616,0.228
5051.29,0.713,0.617,0.229
5061.31,0.715,0.619,0.229
5071.33,0.716,0.621,0.23
5081.36,0.718,0.622,0.231
5091.38,0.719,0.624,0.231
5101.4,0.721,0.626,0.232
5111.42,0.723,0.627,0.233
5121.45,0.724,0.629,0.233
5131.47,0.726,0.63,0.234
5141.49,0.728,0.632,0.234
5151.51,0.729,0.634,0.235
5161.54,0.731,0.635,0.236
5171.56,0.732,0.637,0.236
5181.58,0.734,0.638,0.237
5191.6,0.736,0.64,0.237
5201.63,0.737,0.642,0.238
5211.65,0.739,0.643,0.239
5221.67,0.74,0.645,0.239
5231.69,0.742,0.647,0.24
5241.72,0.744,0.648,0.24
5251.74,0.745,0.65,0.241
5261.76,0.747,0.651,0.242
5271.78,0.749,0.653,0.242
5281.8,0.75,0.655,0.243
5291.83,0.752,0.656,0.243
5301.85,0.753,0.658,0.244
5311.87,0.755,0.66,0.245
5321.89,0.757,0.661,0.245
5331.92,0.758,0.663,0.246
5341.94,0.76,0.664,0.247
5351.96,0.762,0.666,0.247
5361.98,0.763,0.668,0.248
5372.01,0.765,0.669,0.248
5382.03,0.766,0.671,0.249
5392.05,0.768,0.672,0.25
5402.07,0.77,0.674,0.25
5412.1,0.771,0.676,0.251
5422.12,0.773,0.677,0.251
5432.14,0.774,0.679,0.252
5442.16,0.776,0.681,0.253
5452.19,0.778,0.682,0.253
5462.21,0.779,0.684,0.254
5472.23,0.781,0.685,0.254
5482.25,0.783,0.687,0.255
5492.28,0.784,0.689,0.256
5502.3,0.786,0.69,0.256
5512.32,0.787,0.692,0.257
5522.34,0.789,0.694,0.258
5532.36,0.791,0.695,0.258
5542.39,0.792,0.697,0.259
5552.41,0.794,0.698,0.259
5562.43,0.796,0.7,0.26
5572.45,0.797,0.702,0.261
5582.48,0.799,0.703,0.261
5592.5,0.8,0.705,0.262
5602.52,0.802,0.706,0.262
5612.54,0.804,0.708,0.263
5622.57,0.805,0.71,0.264
5632.59,0.807,0.711,0.264
5642.61,0.808,0.713,0.265
5652.63,0.81,0.715,0.265
5662.66,0.812,0.716,0.266
5672.68,0.813,0.718,0.267
5682.7,0.815,0.719,0.267
5692.72,0.817,0.721,0.268
5702.75,0.818,0.723,0.268
5712.77,0.82,0.724,0.269
5722.79,0.821,0.726,0.27
5732.81,0.823,0.728,0.27
5742.84,0.825,0.729,0.271
5752.86,0.826,0.731,0.272
5762.88,0.828,0.732,0.272
5772.9,0.83,0.734,0.273
5782.92,0.831,0.736,0.273
5792.95,0.833,0.737,0.274
5802.97,0.834,0.739,0.275
5812.99,0.836,0.74,0.275
5823.01,0.838,0.742,0.276
5833.04,0.839,0.744,0.276
5843.06,0.841,0.745,0.277
5853.08,0.842,0.747,0.278
