time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
1844.12,0.614,0.313,0.106
1854.14,0.619,0.318,0.108
1864.17,0.624,0.324,0.11
1874.19,0.629,0.329,0.112
1884.21,0.635,0.334,0.114
1894.23,0.64,0.339,0.116
1904.26,0.645,0.344,0.118
1914.28,0.65,0.349,0.12
1924.3,0.655,0.354,0.122
1934.32,0.66,0.359,0.124
1944.35,0.665,0.364,0.125
1954.37,0.67,0.369,0.127
1964.39,0.675,0.375,0.129
1974.41,0.68,0.38,0.131
1984.44,0.686,0.385,0.133
1994.46,0.691,0.39,0.135
2004.48,0.696,0.395,0.137
2014.5,0.701,0.4,0.139
2024.52,0.706,0.405,0.141
2034.55,0.711,0.41,0.143
2044.57,0.716,0.415,0.145
2054.59,0.721,0.42,0.147
2064.61,0.726,0.425,0.149
2074.64,0.731,0.431,0.15
2084.66,0.737,0.436,0.152
2094.68,0.742,0.441,0.154
2104.7,0.747,0.446,0.156
2114.73,0.752,0.451,0.158
2124.75,0.757,0.456,0.16
2134.77,0.762,0.461,0.162
2144.79,0.767,0.466,0.164
2154.82,0.772,0.471,0.166
2164.84,0.777,0.476,0.168
2174.86,0.782,0.482,0.17
2184.88,0.788,0.487,0.172
2194.91,0.793,0.492,0.173
2204.93,0.798,0.497,0.175
2214.95,0.803,0.502,0.177
2224.97,0.808,0.507,0.179
2235.0,0.813,0.512,0.181
2245.02,0.818,0.517,0.183
2255.04,0.823,0.522,0.185
2265.06,0.828,0.527,0.187
2275.08,0.833,0.533,0.189
2285.11,0.839,0.538,0.191
2295.13,0.844,0.543,0.193
2305.15,0.849,0.548,0.195
2315.17,0.854,0.553,0.197
2325.2,0.859,0.558,0.198
2335.22,0.864,0.563,0.2
2345.24,0.869,0.568,0.202
2355.26,0.874,0.573,0.204
2365.29,0.879,0.578,0.206
2375.31,0.884,0.584,0.208
2385.33,0.89,0.589,0.21
2395.35,0.895,0.594,0.212
2405.38,0.9,0.599,0.214
2415.4,0.905,0.604,0.216
2425.42,0.91,0.609,0.218
2435.44,0.915,0.614,0.22
2445.47,0.92,0.619,0.222
2455.49,0.925,0.624,0.223
2465.51,0.93,0.629,0.225
2475.53,0.935,0.635,0.227
2485.56,0.941,0.64,0.229
2495.58,0.946,0.645,0.231
2505.6,0.951,0.65,0.233
2515.62,0.956,0.655,0.235
2525.64,0.961,0.66,0.237
2535.67,0.966,0.665,0.239
2545.69,0.971,0.67,0.241
2555.71,0.976,0.675,0.243
2565.73,0.981,0.68,0.245
2575.76,0.986,0.686,0.246
2585.78,0.992,0.691,0.248
2595.8,0.997,0.696,0.25
2605.82,1.0,0.701,0.252
2615.85,1.01,0.706,0.254
2625.87,1.01,0.711,0.256
2635.89,1.02,0.716,0.258
2645.91,1.02,0.721,0.26
2655.94,1.03,0.726,0.262
2665.96,1.03,0.731,0.264
2675.98,1.04,0.737,0.266
2686.0,1.04,0.742,0.268
2696.03,1.05,0.747,0.27
2706.05,1.05,0.752,0.271
2716.07,1.06,0.757,0.273
2726.09,1.06,0.762,0.275
2736.12,1.07,0.767,0.277
2746.14,1.07,0.772,0.279
2756.16,1.08,0.777,0.281
2766.18,1.08,0.782,0.283
2776.2,1.09,0.788,0.285
2786.23,1.09,0.793,0.287
2796.25,1.1,0.798,0.289
2806.27,1.1,0.803,0.291
2816.29,1.11,0.808,0.293
2826.32,1.11,0.813,0.294
2836.34,1.12,0.818,0.296
2846.36,1.12,0.823,0.298
2856.38,1.13,0.828,0.3
2866.41,1.13,0.833,0.302
2876.43,1.14,0.838,0.304
2886.45,1.14,0.844,0.306
2896.47,1.15,0.849,0.308
2906.5,1.15,0.854,0.31
2916.52,1.16,0.859,0.312
2926.54,1.16,0.864,0.314
2936.56,1.17,0.869,0.316
2946.59,1.18,0.874,0.318
2956.61,1.18,0.879,0.319
2966.63,1.19,0.884,0.321
2976.65,1.19,0.889,0.323
2986.68,1.2,0.895,0.325
2996.7,1.2,0.9,0.327
3006.72,1.21,0.905,0.329
3016.74,1.21,0.91,0.331
3026.76,1.22,0.915,0.333
3036.79,1.22,0.92,0.335
3046.81,1.23,0.925,0.337
3056.83,1.23,0.93,0.339
3066.85,1.24,0.935,0.341
3076.88,1.24,0.94,0.343
3086.9,1.25,0.946,0.344
3096.92,1.25,0.951,0.346
3106.94,1.26,0.956,0.348
3116.97,1.26,0.961,0.35
3126.99,1.27,0.966,0.352
3137.01,1.27,0.971,0.354
3147.03,1.28,0.976,0.356
3157.06,1.28,0.981,0.358
3167.08,1.29,0.986,0.36
3177.1,1.29,0.991,0.362
3187.12,1.3,0.997,0.364
3197.15,1.3,1.0,0.366
3207.17,1.31,1.01,0.367
3217.19,1.31,1.01,0.369
3227.21,1.32,1.02,0.371
3237.24,1.32,1.02,0.373
3247.26,1.33,1.03,0.375
3257.28,1.33,1.03,0.377
3267.3,1.34,1.04,0.379
3277.32,1.34,1.04,0.381
3287.35,1.35,1.05,0.383
3297.37,1.35,1.05,0.385
3307.39,1.36,1.06,0.387
3317.41,1.36,1.06,0.389
3327.44,1.37,1.07,0.391
3337.46,1.37,1.07,0.392
3347.48,1.38,1.08,0.394
3357.5,1.38,1.08,0.396
3367.53,1.39,1.09,0.398
3377.55,1.39,1.09,0.4
3387.57,1.4,1.1,0.402
3397.59,1.4,1.1,0.404
3407.62,1.41,1.11,0.406
3417.64,1.41,1.11,0.408
3427.66,1.42,1.12,0.41
3437.68,1.42,1.12,0.412
3447.71,1.43,1.13,0.414
3457.73,1.44,1.13,0.416
3467.75,1.44,1.14,0.417
3477.77,1.45,1.14,0.419
3487.8,1.45,1.15,0.421
3497.82,1.46,1.15,0.423
3507.84,1.46,1.16,0.425
3517.86,1.47,1.16,0.427
3527.88,1.47,1.17,0.429
3537.91,1.48,1.18,0.431
3547.93,1.48,1.18,0.433
3557.95,1.49,1.19,0.435
3567.97,1.49,1.19,0.437
3578.0,1.5,1.2,0.439
3588.02,1.5,1.2,0.44
3598.04,1.51,1.21,0.442
3608.06,1.51,1.21,0.444
3618.09,1.52,1.22,0.446
3628.11,1.52,1.22,0.448
3638.13,1.53,1.23,0.45
3648.15,1.53,1.23,0.452
3658.18,1.54,1.24,0.454
3668.2,1.54,1.24,0.456
3678.22,1.55,1.25,0.458
3688.24,1.55,1.25,0.46
3698.27,1.56,1.26,0.462
3708.29,1.56,1.26,0.464
3718.31,1.57,1.27,0.465
3728.33,1.57,1.27,0.467
3738.36,1.58,1.28,0.469
3748.38,1.58,1.28,0.471
3758.4,1.59,1.29,0.473
3768.42,1.59,1.29,0.475
3778.44,1.6,1.3,0.477
3788.47,1.6,1.3,0.479
3798.49,1.61,1.31,0.481
3808.51,1.61,1.31,0.483
3818.53,1.62,1.32,0.485
3828.56,1.62,1.32,0.487
3838.58,1.63,1.33,0.488
3848.6,1.63,1.33,0.49
3858.62,1.64,1.34,0.492
3868.65,1.64,1.34,0.494
3878.67,1.65,1.35,0.496
3888.69,1.65,1.35,0.498
3898.71,1.66,1.36,0.5
3908.74,1.66,1.36,0.502
3918.76,1.67,1.37,0.504
3928.78,1.67,1.37,0.506
3938.8,1.68,1.38,0.508
3948.83,1.68,1.38,0.51
3958.85,1.69,1.39,0.512
3968.87,1.7,1.39,0.513
3978.89,1.7,1.4,0.515
3988.92,1.71,1.4,0.517
3998.94,1.71,1.41,0.519
4008.96,1.72,1.41,0.521
4018.98,1.72,1.42,0.523
4029.0,1.73,1.42,0.525
4039.03,1.73,1.43,0.527
4049.05,1.74,1.44,0.529
4059.07,1.74,1.44,0.531
4069.09,1.75,1.45,0.533
4079.12,1.75,1.45,0.535
4089.14,1.76,1.46,0.537
4099.16,1.76,1.46,0.538
4109.18,1.77,1.47,0.54
4119.21,1.77,1.47,0.542
4129.23,1.78,1.48,0.544
4139.25,1.78,1.48,0.546
4149.27,1.79,1.49,0.548
4159.3,1.79,1.49,0.55
4169.32,1.8,1.5,0.552
4179.34,1.8,1.5,0.554
4189.36,1.81,1.51,0.556
4199.39,1.81,1.51,0.558
4209.41,1.82,1.52,0.56
4219.43,1.82,1.52,0.561
4229.45,1.83,1.53,0.563
4239.48,1.83,1.53,0.565
4249.5,1.84,1.54,0.567
4259.52,1.84,1.54,0.569
4269.54,1.85,1.55,0.571
4279.56,1.85,1.55,0.573
4289.59,1.86,1.56,0.575
4299.61,1.86,1.56,0.577
4309.63,1.87,1.57,0.579
4319.65,1.87,1.57,0.581
4329.68,1.88,1.58,0.583
4339.7,1.88,1.58,0.585
4349.72,1.89,1.59,0.586
4359.74,1.89,1.59,0.588
4369.77,1.9,1.6,0.59
4379.79,1.9,1.6,0.592
4389.81,1.91,1.61,0.594
4399.83,1.91,1.61,0.596
4409.86,1.92,1.62,0.598
4419.88,1.92,1.62,0.6
4429.9,1.93,1.63,0.602
4439.92,1.93,1.63,0.604
4449.95,1.94,1.64,0.606
4459.97,1.94,1.64,0.608
4469.99,1.95,1.65,0.609
4480.01,1.96,1.65,0.611
4490.04,1.96,1.66,0.613
4500.06,1.97,1.66,0.615
4510.08,1.97,1.67,0.617
4520.1,1.98,1.67,0.619
4530.12,1.98,1.68,0.621
4540.15,1.99,1.68,0.623
4550.17,1.99,1.69,0.625
4560.19,2.0,1.7,0.627
4570.21,2.0,1.7,0.629
4580.24,2.01,1.71,0.631
4590.26,2.01,1.71,0.633
4600.28,2.02,1.72,0.634
4610.3,2.02,1.72,0.636
4620.33,2.03,1.73,0.638
4630.35,2.03,1.73,0.64
4640.37,2.04,1.74,0.642
4650.39,2.04,1.74,0.644
4660.42,2.05,1.75,0.646
4670.44,2.05,1.75,0.648
4680.46,2.06,1.76,0.65
4690.48,2.06,1.76,0.652
4700.51,2.07,1.77,0.654
4710.53,2.07,1.77,0.656
4720.55,2.08,1.78,0.658
4730.57,2.08,1.78,0.659
4740.6,2.09,1.79,0.661
4750.62,2.09,1.79,0.663
4760.64,2.1,1.8,0.665
4770.66,2.1,1.8,0.667
4780.68,2.11,1.81,0.669
4790.71,2.11,1.81,0.671
4800.73,2.12,1.82,0.673
4810.75,2.12,1.82,0.675
4820.77,2.13,1.83,0.677
4830.8,2.13,1.83,0.679
4840.82,2.14,1.84,0.681
4850.84,2.14,1.84,0.682
4860.86,2.15,1.85,0.684
4870.89,2.15,1.85,0.686
4880.91,2.16,1.86,0.688
4890.93,2.16,1.86,0.69
4900.95,2.17,1.87,0.692
4910.98,2.17,1.87,0.694
4921.0,2.18,1.88,0.696
4931.02,2.18,1.88,0.698
4941.04,2.19,1.89,0.7
4951.07,2.19,1.89,0.702
4961.09,2.2,1.9,0.704
4971.11,2.21,1.9,0.706
4981.13,2.21,1.91,0.707
4991.16,2.22,1.91,0.709
5001.18,2.22,1.92,0.711
5011.2,2.23,1.92,0.713
5021.22,2.23,1.93,0.715
5031.24,2.24,1.93,0.717
5041.27,2.24,1.94,0.719
5051.29,2.25,1.94,0.721
5061.31,2.25,1.95,0.723
5071.33,2.26,1.96,0.725
5081.36,2.26,1.96,0.727
5091.38,2.27,1.97,0.729
5101.4,2.27,1.97,0.731
5111.42,2.28,1.98,0.732
5121.45,2.28,1.98,0.734
5131.47,2.29,1.99,0.736
5141.49,2.29,1.99,0.738
5151.51,2.3,2.0,0.74
5161.54,2.3,2.0,0.742
5171.56,2.31,2.01,0.744
5181.58,2.31,2.01,0.746
5191.6,2.32,2.02,0.748
5201.63,2.32,2.02,0.75
5211.65,2.33,2.03,0.752
5221.67,2.33,2.03,0.754
5231.69,2.34,2.04,0.755
