time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
1032.31,3980.0,0.0,0.0,-8.85,100.0,306.0
1042.33,3890.0,0.0,0.0,26.4,100.0,311.0
1052.35,3870.0,0.0,0.0,7.9,100.0,309.0
1062.37,3920.0,0.0,0.0,-15.8,100.0,307.0
1072.4,3960.0,0.0,0.0,-13.5,100.0,309.0
1082.42,3950.0,0.0,0.0,1.82,100.0,313.0
1092.44,3930.0,0.0,0.0,5.57,100.0,315.0
1102.46,3940.0,0.0,0.0,-0.999,100.0,315.0
1112.49,3950.0,0.0,0.0,-4.32,100.0,315.0
1122.51,3950.0,0.0,0.0,-1.81,100.0,316.0
1132.53,3950.0,0.0,0.0,1.11,100.0,317.0
1142.55,4660.0,0.0,0.0,-348.0,100.0,322.0
1152.58,6220.0,0.0,0.0,-431.0,100.0,429.0
1162.6,6720.0,0.0,0.0,-38.2,100.0,633.0
1172.62,5390.0,0.0,0.0,482.0,100.0,751.0
1182.64,6080.0,0.0,0.0,-218.0,100.0,751.0
1192.67,6760.0,0.0,0.0,-111.0,100.0,836.0
1202.69,6970.0,3240.0,0.0,-322.0,100.0,997.0
1212.71,7060.0,3350.0,0.0,-94.7,100.0,1150.0
1222.73,7090.0,3450.0,0.0,-48.1,100.0,1270.0
1232.76,7100.0,3960.0,0.0,-183.0,100.0,1370.0
1242.78,7100.0,4510.0,0.0,-224.0,100.0,1500.0
1252.8,7110.0,5120.0,0.0,-262.0,100.0,1650.0
1262.82,7110.0,5900.0,0.0,-320.0,100.0,1830.0
1272.84,7110.0,6540.0,0.0,-282.0,100.0,2040.0
1282.87,7110.0,6880.0,0.0,-84.1,100.0,2260.0
1292.89,7110.0,7020.0,2950.0,-455.0,100.0,2490.0
1302.91,7110.0,7080.0,2590.0,0.464,100.0,2700.0
1312.93,7110.0,7100.0,2640.0,0.73,100.0,2820.0
1322.96,7110.0,7100.0,2660.0,0.73,100.0,2910.0
1332.98,7110.0,7110.0,2670.0,0.73,100.0,2970.0
1343.0,7110.0,7110.0,2670.0,0.73,100.0,3020.0
1353.02,7110.0,7110.0,2680.0,0.73,100.0,3060.0
1363.05,7110.0,7110.0,2680.0,0.73,100.0,3080.0
1373.07,7110.0,7110.0,2680.0,0.73,100.0,3100.0
1383.09,7110.0,7110.0,2680.0,0.73,100.0,3120.0
1393.11,7110.0,7110.0,2680.0,0.73,100.0,3130.0
1403.14,7110.0,7110.0,2680.0,0.73,100.0,3140.0
1413.16,7110.0,7110.0,2680.0,0.73,100.0,3150.0
1423.18,7110.0,7110.0,2680.0,0.73,100.0,3160.0
1433.2,7110.0,7110.0,2680.0,0.73,100.0,3160.0
1443.23,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1453.25,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1463.27,7110.0,7110.0,2680.0,0.73,100.0,3170.0
1473.29,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1483.32,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1493.34,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1503.36,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1513.38,7110.0,7110.0,2680.0,0.73,100.0,3190.0
1523.4,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1533.43,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1543.45,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1553.47,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1563.49,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1573.52,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1583.54,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1593.56,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1603.58,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1613.61,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1623.63,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1633.65,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1643.67,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1653.7,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1663.72,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1673.74,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1683.76,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1693.79,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1703.81,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1713.83,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1723.85,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1733.88,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1743.9,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1753.92,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1763.94,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1773.96,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1783.99,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1794.01,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1804.03,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1814.05,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1824.08,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1834.1,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1844.12,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1854.14,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1864.17,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1874.19,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1884.21,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1894.23,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1904.26,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1914.28,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1924.3,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1934.32,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1944.35,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1954.37,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1964.39,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1974.41,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1984.44,7110.0,7110.0,2680.0,0.73,100.0,3200.0
1994.46,7110.0,7110.0,2680.0,0.73,100.0,3200.0
2004.48,7110.0,7110.0,2680.0,0.73,100.0,3200.0
2014.5,7110.0,7110.0,2680.0,0.73,100.0,3200.0
2024.52,7110.0,7110.0,2680.0,0.73,100.0,3200.0
2034.55,7110.0,7110.0,2680.0,0.73,100.0,3190.0
2044.57,7110.0,7110.0,2680.0,0.73,100.0,3170.0
2054.59,7110.0,7110.0,2680.0,0.73,100.0,3170.0
2064.61,7110.0,7110.0,2680.0,0.73,100.0,3170.0
2074.64,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2084.66,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2094.68,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2104.7,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2114.73,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2124.75,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2134.77,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2144.79,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2154.82,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2164.84,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2174.86,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2184.88,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2194.91,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2204.93,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2214.95,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2224.97,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2235.0,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2245.02,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2255.04,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2265.06,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2275.08,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2285.11,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2295.13,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2305.15,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2315.17,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2325.2,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2335.22,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2345.24,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2355.26,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2365.29,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2375.31,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2385.33,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2395.35,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2405.38,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2415.4,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2425.42,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2435.44,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2445.47,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2455.49,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2465.51,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2475.53,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2485.56,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2495.58,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2505.6,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2515.62,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2525.64,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2535.67,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2545.69,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2555.71,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2565.73,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2575.76,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2585.78,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2595.8,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2605.82,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2615.85,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2625.87,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2635.89,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2645.91,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2655.94,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2665.96,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2675.98,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2686.0,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2696.03,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2706.05,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2716.07,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2726.09,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2736.12,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2746.14,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2756.16,7110.0,7110.0,2680.0,0.73,100.0,3160.0
